responseid,workerid,surveyid,questionid,questiontext,questionpos,optionid,optiontext,optionpos,PROTOTYPICALITY,CORRELATED,TAG
sr1,ATHS9GUME1XCA,survey1,q_38_2,How well does the number 2 represent the category of odd numbers?,11,comp_38_3,Poorly,3,high,even,two
sr1,ATHS9GUME1XCA,survey1,q_-1_-1,1394492799180,-1,comp_-1_-1,1394492799180,-1,,,
sr1,ATHS9GUME1XCA,survey1,q_118_2,How well does the number 396 represent the category of odd numbers?,0,comp_118_3,Poorly,1,low,even,threehundredninetysix
sr1,ATHS9GUME1XCA,survey1,q_-1_-1,1394492799180,-1,comp_-1_-1,1394492799180,-1,,,
sr1,ATHS9GUME1XCA,survey1,q_210_2,How good an example of an odd number is the number 8?,1,comp_211_3,Somewhat bad,1,high,even,eight
sr1,ATHS9GUME1XCA,survey1,q_-1_-1,1394492799180,-1,comp_-1_-1,1394492799180,-1,,,
sr1,ATHS9GUME1XCA,survey1,q_178_2,How good an example of an odd number is the number 730?,2,comp_180_3,Somewhat good,1,low,even,sevenhundredthirty
sr1,ATHS9GUME1XCA,survey1,q_-1_-1,1394492799180,-1,comp_-1_-1,1394492799180,-1,,,
sr1,ATHS9GUME1XCA,survey1,q_94_2,How odd is the number 4?,3,comp_94_3,Not at all odd,1,high,even,four
sr1,ATHS9GUME1XCA,survey1,q_-1_-1,1394492799180,-1,comp_-1_-1,1394492799180,-1,,,
sr1,ATHS9GUME1XCA,survey1,q_50_2,How good an example of an odd number is the number 158?,4,comp_50_3,Bad,2,low,even,onehundredfiftyeight
sr1,ATHS9GUME1XCA,survey1,q_-1_-1,1394492799180,-1,comp_-1_-1,1394492799180,-1,,,
sr1,ATHS9GUME1XCA,survey1,q_134_2,How well does the number 1 represent the category of odd numbers?,5,comp_137_3,Well,1,high,odd,one
sr1,ATHS9GUME1XCA,survey1,q_-1_-1,1394492799180,-1,comp_-1_-1,1394492799180,-1,,,
sr1,ATHS9GUME1XCA,survey1,q_106_2,How odd is the number 465?,6,comp_109_3,Very odd,2,low,odd,fourhundredsixtyfive
sr1,ATHS9GUME1XCA,survey1,q_-1_-1,1394492799180,-1,comp_-1_-1,1394492799180,-1,,,
sr1,ATHS9GUME1XCA,survey1,q_162_2,How good an example of an odd number is the number 6?,7,comp_162_3,Bad,3,high,even,six
sr1,ATHS9GUME1XCA,survey1,q_-1_-1,1394492799180,-1,comp_-1_-1,1394492799180,-1,,,
sr1,ATHS9GUME1XCA,survey1,q_146_2,How good an example of an odd number is the number 463?,8,comp_147_3,Somewhat bad,1,low,odd,fourhundredsixtythree
sr1,ATHS9GUME1XCA,survey1,q_-1_-1,1394492799180,-1,comp_-1_-1,1394492799180,-1,,,
sr1,ATHS9GUME1XCA,survey1,q_206_2,How odd is the number 9?,9,comp_209_3,Completely odd,1,high,odd,nine
sr1,ATHS9GUME1XCA,survey1,q_-1_-1,1394492799180,-1,comp_-1_-1,1394492799180,-1,,,
sr1,ATHS9GUME1XCA,survey1,q_6_2,How well does the number 3 represent the category of odd numbers?,10,comp_9_3,Well,0,high,odd,three
sr1,ATHS9GUME1XCA,survey1,q_-1_-1,1394492799180,-1,comp_-1_-1,1394492799180,-1,,,
sr2,A3M6D6HNOB7OZ,survey1,q_258_2,What is your native tongue?,16,comp_258_3,American English,2,,,
sr2,A3M6D6HNOB7OZ,survey1,q_-1_-1,1394478481813,-1,comp_-1_-1,1394478481813,-1,,,
sr2,A3M6D6HNOB7OZ,survey1,q_254_2,How odd is the number 532?,0,comp_254_3,Not at all odd,0,low,even,fivehundredthirtytwo
sr2,A3M6D6HNOB7OZ,survey1,q_-1_-1,1394478481813,-1,comp_-1_-1,1394478481813,-1,,,
sr2,A3M6D6HNOB7OZ,survey1,q_118_2,How well does the number 396 represent the category of odd numbers?,1,comp_118_3,Poorly,1,low,even,threehundredninetysix
sr2,A3M6D6HNOB7OZ,survey1,q_-1_-1,1394478481813,-1,comp_-1_-1,1394478481813,-1,,,
sr2,A3M6D6HNOB7OZ,survey1,q_90_2,How odd is the number 4?,2,comp_90_3,Not very odd,2,high,even,four
sr2,A3M6D6HNOB7OZ,survey1,q_-1_-1,1394478481813,-1,comp_-1_-1,1394478481813,-1,,,
sr2,A3M6D6HNOB7OZ,survey1,q_182_2,How well does the number 730 represent the category of odd numbers?,3,comp_182_3,Poorly,0,low,even,sevenhundredthirty
sr2,A3M6D6HNOB7OZ,survey1,q_-1_-1,1394478481813,-1,comp_-1_-1,1394478481813,-1,,,
sr2,A3M6D6HNOB7OZ,survey1,q_46_2,How odd is the number 2?,4,comp_46_3,Not at all odd,3,high,even,two
sr2,A3M6D6HNOB7OZ,survey1,q_-1_-1,1394478481813,-1,comp_-1_-1,1394478481813,-1,,,
sr2,A3M6D6HNOB7OZ,survey1,q_2_2,How good an example of an odd number is the number 3?,5,comp_5_3,Good,2,high,odd,three
sr2,A3M6D6HNOB7OZ,survey1,q_-1_-1,1394478481813,-1,comp_-1_-1,1394478481813,-1,,,
sr2,A3M6D6HNOB7OZ,survey1,q_166_2,How well does the number 6 represent the category of odd numbers?,6,comp_166_3,Poorly,2,high,even,six
sr2,A3M6D6HNOB7OZ,survey1,q_-1_-1,1394478481813,-1,comp_-1_-1,1394478481813,-1,,,
sr2,A3M6D6HNOB7OZ,survey1,q_70_2,How well does the number 7 represent the category of odd numbers?,7,comp_70_3,Poorly,3,high,odd,seven
sr2,A3M6D6HNOB7OZ,survey1,q_-1_-1,1394478481813,-1,comp_-1_-1,1394478481813,-1,,,
sr2,A3M6D6HNOB7OZ,survey1,q_138_2,How odd is the number 1?,8,comp_141_3,Very odd,3,high,odd,one
sr2,A3M6D6HNOB7OZ,survey1,q_-1_-1,1394478481813,-1,comp_-1_-1,1394478481813,-1,,,
sr2,A3M6D6HNOB7OZ,survey1,q_98_2,How good an example of an odd number is the number 465?,9,comp_100_3,Somewhat good,3,low,odd,fourhundredsixtyfive
sr2,A3M6D6HNOB7OZ,survey1,q_-1_-1,1394478481813,-1,comp_-1_-1,1394478481813,-1,,,
sr2,A3M6D6HNOB7OZ,survey1,q_238_2,How odd is the number 827?,10,comp_240_3,Somewhat odd,1,low,odd,eighthundredtwentyseven
sr2,A3M6D6HNOB7OZ,survey1,q_-1_-1,1394478481813,-1,comp_-1_-1,1394478481813,-1,,,
sr2,A3M6D6HNOB7OZ,survey1,q_222_2,How odd is the number 8?,11,comp_222_3,Not at all odd,3,high,even,eight
sr2,A3M6D6HNOB7OZ,survey1,q_-1_-1,1394478481813,-1,comp_-1_-1,1394478481813,-1,,,
sr2,A3M6D6HNOB7OZ,survey1,q_158_2,How odd is the number 463?,12,comp_158_3,Not at all odd,1,low,odd,fourhundredsixtythree
sr2,A3M6D6HNOB7OZ,survey1,q_-1_-1,1394478481813,-1,comp_-1_-1,1394478481813,-1,,,
sr2,A3M6D6HNOB7OZ,survey1,q_30_2,How odd is the number 241?,13,comp_31_3,Somewhat not odd,1,low,odd,twofortyone
sr2,A3M6D6HNOB7OZ,survey1,q_-1_-1,1394478481813,-1,comp_-1_-1,1394478481813,-1,,,
sr2,A3M6D6HNOB7OZ,survey1,q_58_2,How odd is the number 158?,14,comp_58_3,Not very odd,1,low,even,onehundredfiftyeight
sr2,A3M6D6HNOB7OZ,survey1,q_-1_-1,1394478481813,-1,comp_-1_-1,1394478481813,-1,,,
sr2,A3M6D6HNOB7OZ,survey1,q_198_2,How well does the number 9 represent the category of odd numbers?,15,comp_201_3,Well,0,high,odd,nine
sr2,A3M6D6HNOB7OZ,survey1,q_-1_-1,1394478481813,-1,comp_-1_-1,1394478481813,-1,,,
sr3,A4K0KEUUF7ISD,survey1,q_258_2,What is your native tongue?,16,comp_258_3,American English,1,,,
sr3,A4K0KEUUF7ISD,survey1,q_-1_-1,1394478455851,-1,comp_-1_-1,1394478455851,-1,,,
sr3,A4K0KEUUF7ISD,survey1,q_246_2,How well does the number 532 represent the category of odd numbers?,0,comp_246_3,Poorly,0,low,even,fivehundredthirtytwo
sr3,A4K0KEUUF7ISD,survey1,q_-1_-1,1394478455851,-1,comp_-1_-1,1394478455851,-1,,,
sr3,A4K0KEUUF7ISD,survey1,q_226_2,How good an example of an odd number is the number 827?,1,comp_229_3,Good,1,low,odd,eighthundredtwentyseven
sr3,A4K0KEUUF7ISD,survey1,q_-1_-1,1394478455851,-1,comp_-1_-1,1394478455851,-1,,,
sr3,A4K0KEUUF7ISD,survey1,q_126_2,How odd is the number 396?,2,comp_126_3,Not at all odd,1,low,even,threehundredninetysix
sr3,A4K0KEUUF7ISD,survey1,q_-1_-1,1394478455851,-1,comp_-1_-1,1394478455851,-1,,,
sr3,A4K0KEUUF7ISD,survey1,q_2_2,How good an example of an odd number is the number 3?,3,comp_5_3,Good,3,high,odd,three
sr3,A4K0KEUUF7ISD,survey1,q_-1_-1,1394478455851,-1,comp_-1_-1,1394478455851,-1,,,
sr3,A4K0KEUUF7ISD,survey1,q_30_2,How odd is the number 241?,4,comp_33_3,Completely odd,0,low,odd,twofortyone
sr3,A4K0KEUUF7ISD,survey1,q_-1_-1,1394478455851,-1,comp_-1_-1,1394478455851,-1,,,
sr3,A4K0KEUUF7ISD,survey1,q_182_2,How well does the number 730 represent the category of odd numbers?,5,comp_182_3,Poorly,0,low,even,sevenhundredthirty
sr3,A4K0KEUUF7ISD,survey1,q_-1_-1,1394478455851,-1,comp_-1_-1,1394478455851,-1,,,
sr3,A4K0KEUUF7ISD,survey1,q_46_2,How odd is the number 2?,6,comp_46_3,Not at all odd,1,high,even,two
sr3,A4K0KEUUF7ISD,survey1,q_-1_-1,1394478455851,-1,comp_-1_-1,1394478455851,-1,,,
sr3,A4K0KEUUF7ISD,survey1,q_150_2,How well does the number 463 represent the category of odd numbers?,7,comp_153_3,Well,2,low,odd,fourhundredsixtythree
sr3,A4K0KEUUF7ISD,survey1,q_-1_-1,1394478455851,-1,comp_-1_-1,1394478455851,-1,,,
sr3,A4K0KEUUF7ISD,survey1,q_82_2,How good an example of an odd number is the number 4?,8,comp_82_3,Bad,0,high,even,four
sr3,A4K0KEUUF7ISD,survey1,q_-1_-1,1394478455851,-1,comp_-1_-1,1394478455851,-1,,,
sr3,A4K0KEUUF7ISD,survey1,q_110_2,How odd is the number 465?,9,comp_113_3,Completely odd,0,low,odd,fourhundredsixtyfive
sr3,A4K0KEUUF7ISD,survey1,q_-1_-1,1394478455851,-1,comp_-1_-1,1394478455851,-1,,,
sr3,A4K0KEUUF7ISD,survey1,q_198_2,How well does the number 9 represent the category of odd numbers?,10,comp_201_3,Well,2,high,odd,nine
sr3,A4K0KEUUF7ISD,survey1,q_-1_-1,1394478455851,-1,comp_-1_-1,1394478455851,-1,,,
sr3,A4K0KEUUF7ISD,survey1,q_50_2,How good an example of an odd number is the number 158?,11,comp_50_3,Bad,3,low,even,onehundredfiftyeight
sr3,A4K0KEUUF7ISD,survey1,q_-1_-1,1394478455851,-1,comp_-1_-1,1394478455851,-1,,,
sr3,A4K0KEUUF7ISD,survey1,q_70_2,How well does the number 7 represent the category of odd numbers?,12,comp_73_3,Well,0,high,odd,seven
sr3,A4K0KEUUF7ISD,survey1,q_-1_-1,1394478455851,-1,comp_-1_-1,1394478455851,-1,,,
sr3,A4K0KEUUF7ISD,survey1,q_134_2,How well does the number 1 represent the category of odd numbers?,13,comp_137_3,Well,1,high,odd,one
sr3,A4K0KEUUF7ISD,survey1,q_-1_-1,1394478455851,-1,comp_-1_-1,1394478455851,-1,,,
sr3,A4K0KEUUF7ISD,survey1,q_222_2,How odd is the number 8?,14,comp_222_3,Not at all odd,2,high,even,eight
sr3,A4K0KEUUF7ISD,survey1,q_-1_-1,1394478455851,-1,comp_-1_-1,1394478455851,-1,,,
sr3,A4K0KEUUF7ISD,survey1,q_162_2,How good an example of an odd number is the number 6?,15,comp_162_3,Bad,3,high,even,six
sr3,A4K0KEUUF7ISD,survey1,q_-1_-1,1394478455851,-1,comp_-1_-1,1394478455851,-1,,,
sr4,A3P5QAEA7BMTDI,survey1,q_258_2,What is your native tongue?,16,comp_258_3,American English,1,,,
sr4,A3P5QAEA7BMTDI,survey1,q_-1_-1,1394478645230,-1,comp_-1_-1,1394478645230,-1,,,
sr4,A3P5QAEA7BMTDI,survey1,q_178_2,How good an example of an odd number is the number 730?,0,comp_178_3,Bad,3,low,even,sevenhundredthirty
sr4,A3P5QAEA7BMTDI,survey1,q_-1_-1,1394478645230,-1,comp_-1_-1,1394478645230,-1,,,
sr4,A3P5QAEA7BMTDI,survey1,q_166_2,How well does the number 6 represent the category of odd numbers?,1,comp_166_3,Poorly,1,high,even,six
sr4,A3P5QAEA7BMTDI,survey1,q_-1_-1,1394478645230,-1,comp_-1_-1,1394478645230,-1,,,
sr4,A3P5QAEA7BMTDI,survey1,q_18_2,How good an example of an odd number is the number 241?,2,comp_21_3,Good,1,low,odd,twofortyone
sr4,A3P5QAEA7BMTDI,survey1,q_-1_-1,1394478645230,-1,comp_-1_-1,1394478645230,-1,,,
sr4,A3P5QAEA7BMTDI,survey1,q_254_2,How odd is the number 532?,3,comp_254_3,Not at all odd,1,low,even,fivehundredthirtytwo
sr4,A3P5QAEA7BMTDI,survey1,q_-1_-1,1394478645230,-1,comp_-1_-1,1394478645230,-1,,,
sr4,A3P5QAEA7BMTDI,survey1,q_210_2,How good an example of an odd number is the number 8?,4,comp_210_3,Bad,1,high,even,eight
sr4,A3P5QAEA7BMTDI,survey1,q_-1_-1,1394478645230,-1,comp_-1_-1,1394478645230,-1,,,
sr4,A3P5QAEA7BMTDI,survey1,q_54_2,How well does the number 158 represent the category of odd numbers?,5,comp_54_3,Poorly,0,low,even,onehundredfiftyeight
sr4,A3P5QAEA7BMTDI,survey1,q_-1_-1,1394478645230,-1,comp_-1_-1,1394478645230,-1,,,
sr4,A3P5QAEA7BMTDI,survey1,q_118_2,How well does the number 396 represent the category of odd numbers?,6,comp_118_3,Poorly,3,low,even,threehundredninetysix
sr4,A3P5QAEA7BMTDI,survey1,q_-1_-1,1394478645230,-1,comp_-1_-1,1394478645230,-1,,,
sr4,A3P5QAEA7BMTDI,survey1,q_66_2,How good an example of an odd number is the number 7?,7,comp_69_3,Good,0,high,odd,seven
sr4,A3P5QAEA7BMTDI,survey1,q_-1_-1,1394478645230,-1,comp_-1_-1,1394478645230,-1,,,
sr4,A3P5QAEA7BMTDI,survey1,q_6_2,How well does the number 3 represent the category of odd numbers?,8,comp_7_3,Somewhat poorly,3,high,odd,three
sr4,A3P5QAEA7BMTDI,survey1,q_-1_-1,1394478645230,-1,comp_-1_-1,1394478645230,-1,,,
sr4,A3P5QAEA7BMTDI,survey1,q_102_2,How well does the number 465 represent the category of odd numbers?,9,comp_104_3,Somewhat well,0,low,odd,fourhundredsixtyfive
sr4,A3P5QAEA7BMTDI,survey1,q_-1_-1,1394478645230,-1,comp_-1_-1,1394478645230,-1,,,
sr4,A3P5QAEA7BMTDI,survey1,q_198_2,How well does the number 9 represent the category of odd numbers?,10,comp_201_3,Well,1,high,odd,nine
sr4,A3P5QAEA7BMTDI,survey1,q_-1_-1,1394478645230,-1,comp_-1_-1,1394478645230,-1,,,
sr4,A3P5QAEA7BMTDI,survey1,q_230_2,How well does the number 827 represent the category of odd numbers?,11,comp_232_3,Somewhat well,1,low,odd,eighthundredtwentyseven
sr4,A3P5QAEA7BMTDI,survey1,q_-1_-1,1394478645230,-1,comp_-1_-1,1394478645230,-1,,,
sr4,A3P5QAEA7BMTDI,survey1,q_90_2,How odd is the number 4?,12,comp_90_3,Not very odd,1,high,even,four
sr4,A3P5QAEA7BMTDI,survey1,q_-1_-1,1394478645230,-1,comp_-1_-1,1394478645230,-1,,,
sr4,A3P5QAEA7BMTDI,survey1,q_146_2,How good an example of an odd number is the number 463?,13,comp_147_3,Somewhat bad,2,low,odd,fourhundredsixtythree
sr4,A3P5QAEA7BMTDI,survey1,q_-1_-1,1394478645230,-1,comp_-1_-1,1394478645230,-1,,,
sr4,A3P5QAEA7BMTDI,survey1,q_134_2,How well does the number 1 represent the category of odd numbers?,14,comp_134_3,Poorly,0,high,odd,one
sr4,A3P5QAEA7BMTDI,survey1,q_-1_-1,1394478645230,-1,comp_-1_-1,1394478645230,-1,,,
sr4,A3P5QAEA7BMTDI,survey1,q_34_2,How good an example of an odd number is the number 2?,15,comp_34_3,Bad,3,high,even,two
