responseid,workerid,surveyid,questionid,questiontext,questionpos,optionid,optiontext,optionpos,correlation
sr1,A7GFJUB1W93A2,survey1,q_281_2,Please say both words aloud. Which one would you say?,16,comp_283_3,probably hero-athon,1,vowel
sr1,A7GFJUB1W93A2,survey1,q_7_2,Are you a native speaker of English?,0,comp_7_3,Yes,0,
sr1,A7GFJUB1W93A2,survey1,q_2_2,What is your age?,1,comp_3_3,26-35,3,
sr1,A7GFJUB1W93A2,survey1,q_221_2,Please say both words aloud. Which one would you say?,2,comp_222_3,probably cayenne-thon,1,consonant
sr1,A7GFJUB1W93A2,survey1,q_365_2,Please say both words aloud. Which one would you say?,3,comp_366_3,probably antidote-thon,1,consonant
sr1,A7GFJUB1W93A2,survey1,q_241_2,Please say both words aloud. Which one would you say?,4,comp_242_3,probably cologne-thon,2,consonant
sr1,A7GFJUB1W93A2,survey1,q_381_2,Please say both words aloud. Which one would you say?,5,comp_383_3,probably placebo-athon,2,vowel
sr1,A7GFJUB1W93A2,survey1,q_89_2,Please say both words aloud. Which one would you say?,6,comp_91_3,probably hero-alicious,1,vowel
sr1,A7GFJUB1W93A2,survey1,q_341_2,Please say both words aloud. Which one would you say?,7,comp_342_3,probably asylum-thon,2,consonant
sr1,A7GFJUB1W93A2,survey1,q_169_2,Please say both words aloud. Which one would you say?,8,comp_171_3,probably nicotine-alicious,2,consonant
sr1,A7GFJUB1W93A2,survey1,q_301_2,Please say both words aloud. Which one would you say?,9,comp_303_3,probably affidavit-athon,1,consonant
sr1,A7GFJUB1W93A2,survey1,q_289_2,Please say both words aloud. Which one would you say?,10,comp_291_3,probably cuba-athon,1,schwa
sr1,A7GFJUB1W93A2,survey1,q_345_2,Please say both words aloud. Which one would you say?,11,comp_345_3,definitely silverware-thon,0,consonant
sr1,A7GFJUB1W93A2,survey1,q_321_2,Please say both words aloud. Which one would you say?,12,comp_323_3,probably ceramic-athon,1,consonant
sr1,A7GFJUB1W93A2,survey1,q_13_2,Please say both words aloud. Which one would you say?,13,comp_15_3,probably stampede-alicious,1,consonant
sr1,A7GFJUB1W93A2,survey1,q_309_2,Please say both words aloud. Which one would you say?,14,comp_311_3,probably meditation-athon,1,consonant
sr1,A7GFJUB1W93A2,survey1,q_177_2,Please say both words aloud. Which one would you say?,15,comp_179_3,probably antenna-alicious,1,schwa
sr1,A7GFJUB1W93A2,survey1,q_-1_-1,,-1,comp_-1_-1,,-1,
sr3,A7SJJTVRXJTV,survey1,q_381_2,Please say both words aloud. Which one would you say?,6,comp_382_3,probably placebo-thon,1,vowel
sr3,A7SJJTVRXJTV,survey1,q_2_2,What is your age?,0,comp_2_3,18-25,0,
sr3,A7SJJTVRXJTV,survey1,q_7_2,Are you a native speaker of English?,1,comp_7_3,Yes,1,
sr3,A7SJJTVRXJTV,survey1,q_121_2,Please say both words aloud. Which one would you say?,2,comp_124_3,definitely penicillin-alicious,0,consonant
sr3,A7SJJTVRXJTV,survey1,q_209_2,Please say both words aloud. Which one would you say?,3,comp_210_3,probably berlin-thon,1,consonant
sr3,A7SJJTVRXJTV,survey1,q_225_2,Please say both words aloud. Which one would you say?,4,comp_228_3,definitely estate-athon,0,consonant
sr3,A7SJJTVRXJTV,survey1,q_117_2,Please say both words aloud. Which one would you say?,5,comp_118_3,probably meditation-licious,1,consonant
sr3,A7SJJTVRXJTV,survey1,q_-1_-1,,-1,comp_-1_-1,,-1,
sr4,A38GK33NFSSS3Y,survey1,q_25_2,Please say both words aloud. Which one would you say?,58,comp_28_3,definitely champagne-alicious,3,consonant
sr4,A38GK33NFSSS3Y,survey1,q_2_2,What is your age?,0,comp_3_3,26-35,1,
sr4,A38GK33NFSSS3Y,survey1,q_7_2,Are you a native speaker of English?,1,comp_7_3,Yes,1,
sr4,A38GK33NFSSS3Y,survey1,q_201_2,Please say both words aloud. Which one would you say?,2,comp_204_3,definitely corvette-athon,0,consonant
sr4,A38GK33NFSSS3Y,survey1,q_381_2,Please say both words aloud. Which one would you say?,3,comp_383_3,probably placebo-athon,1,vowel
sr4,A38GK33NFSSS3Y,survey1,q_241_2,Please say both words aloud. Which one would you say?,4,comp_243_3,probably cologne-athon,2,consonant
sr4,A38GK33NFSSS3Y,survey1,q_281_2,Please say both words aloud. Which one would you say?,5,comp_283_3,probably hero-athon,1,vowel
